term	code
African ancestry ACE inhibitor-exposed	AFR
African ancestry bipolar disorder	AFR
African ancestry college graduated	AFR
African ancestry current	AFR
African ancestry current smoker	AFR
African ancestry ever	AFR
African ancestry ever smoker	AFR
African ancestry exposed	AFR
African ancestry female	AFR
African ancestry former and never	AFR
African ancestry HIV-negative	AFR
African ancestry lymphoblastoid	AFR
African ancestry male	AFR
African ancestry never	AFR
African ancestry never smoker	AFR
African ancestry non smoker	AFR
African ancestry non-college graduated	AFR
African ancestry or other ancestry	AFR
African ancestry postmenopausal	AFR
African ancestry schizophrenia	AFR
African ancestry supraventricular ectopy	AFR
African ancestry ventricular ectopy	AFR
African ancestry, African American or Afro-Caribbean	AFR
African and Asian ancestry	AFR,EAS,SAS
African and unknown ancestry	AFR
African British	AFR
African schizo-affective	AFR
African-American	AFR
African-American ancestry	AFR
African-American male	AFR
African, African American, South East Asian, East Asian, American Indian/Alaskan Native, Mixed race, Arabic/North African, Central/South Asian or Japanese Asian ancestry	AFR,AMR,EAS,SAS
Afro-Caribbean	AFR,AMR
Alaskan native ancestry	AMR,EAS
Alaskan native ancestry schizophrenia	AMR,EAS
American ancestry	AMR
American Indian	AMR
American Indian ancestry	AMR
American Indian ancestry diabetic	AMR
American Indian ancestry young-onset	AMR
American Indian or Alaskan Native ancestry	AMR
American Indian, Asian, Pacific Islander or Hispanic/Latino ancestry	AMR,EAS
Amish	EUR
Amish, White ancestry	EUR
anti-dsDNA negative European ancestry	EUR
anti-dsDNA positive European ancestry	EUR
Arab ancestry	AFR,SAS
Arab-Israeli ancestry APOE e4-	AFR,EUR,SAS
Arab-Israeli ancestry e4-	AFR,EUR,SAS
Arabian ancestry	AFR,SAS
Ashkenazi Jewish	EUR
Ashkenazi Jewish ancestry	EUR
Ashkenazi Jewish bipolar disorder	EUR
Ashkenazi Jewish founder	EUR
Ashkenazi Jewish non-BRCA1/2 carriers	EUR
Ashkenazi Jewish schizophrenia	EUR
Ashkenazi Jewish, French Canadian and other European ancestry Tourette's Syndrome	EUR
Ashkenazi Jewish, South African Afrikaner ancestry, and other European ancestry OCD	AFR,EUR
Ashkenazi Jewish, South African Afrikaner ancestry, French Canadian and other European ancestry OCD and Tourette's syndrome	AFR,EUR
Asian	EAS,SAS
Asian American	EAS,SAS
Asian American ancestry	EAS,SAS
Asian American individuals 15 admixed	EAS,SAS
Asian ancestry	EAS,SAS
Asian ancestry active	EAS,SAS
Asian ancestry bilateral cleft lip	EAS,SAS
Asian ancestry bilateral cleft palate	EAS,SAS
Asian ancestry case-parent duos or	EAS,SAS
Asian ancestry cases and their unaffected	EAS,SAS
Asian ancestry child	EAS,SAS
Asian ancestry cleft lip	EAS,SAS
Asian ancestry cleft lip with cleft palate	EAS,SAS
Asian ancestry cleft palate	EAS,SAS
Asian ancestry college graduated	EAS,SAS
Asian ancestry controls,170 European ancestry	EAS,EUR,SAS
Asian ancestry current	EAS,SAS
Asian ancestry current smoker	EAS,SAS
Asian ancestry drinkers and	EAS,SAS
Asian ancestry ever	EAS,SAS
Asian ancestry ever smoker	EAS,SAS
Asian ancestry exposed	EAS,SAS
Asian ancestry former and never	EAS,SAS
Asian ancestry heavy	EAS,SAS
Asian ancestry heavy and light	EAS,SAS
Asian ancestry inactive	EAS,SAS
Asian ancestry light	EAS,SAS
Asian ancestry lithium treated bipolar disorder	EAS,SAS
Asian ancestry never	EAS,SAS
Asian ancestry never smoker	EAS,SAS
Asian ancestry non smoker	EAS,SAS
Asian ancestry non-college graduated	EAS,SAS
Asian ancestry non-regular	EAS,SAS
Asian ancestry osteonecrosis	EAS,SAS
Asian ancestry postmenopausal	EAS,SAS
Asian ancestry recurrent	EAS,SAS
Asian ancestry regular	EAS,SAS
Asian ancestry schizophrenia	EAS,SAS
Asian ancestry Schizophrenia	EAS,SAS
Asian ancestry treated	EAS,SAS
Asian ancestry unexposed	EAS,SAS
Asian ancestry unilateral cleft lip	EAS,SAS
Asian ancestry unilateral cleft palate	EAS,SAS
Asian ancestry, Pacific Islander	EAS,SAS
Asian Indian	EAS,SAS
Asian Indian ancestry	EAS,SAS
Asian or Asian British	EAS,SAS
Asian or Native Hawaiian ancestry	EAS,SAS
Asian or Oceanian ancestry	EAS,SAS
Asian or Pacific Islander ancestry newborn	EAS,SAS
Asian, African or First Nation ancestry	EAS,SAS
Asian, European, African and other ancestry	AFR,EAS,EUR,SAS
Asian, Native American and other ancestry	EAS,SAS
Austrian ancestry	EUR
Austrian ancestry advanced colorectal adenoma	EUR
Austrian ancestry colonoscopy-negative	EUR
Austrian ancestry colorectal cancer	EUR
Bangladeshi	SAS
Bangladeshi ancestry	SAS
Bangladeshi ancestry (non-array genotyped, whole-genome imputed)	SAS
Bangladeshi ancestry current smoker	SAS
Bangladeshi ancestry ever smoker	SAS
Bangladeshi ancestry former smoker	SAS
Bangladeshi ancestry never smoker	SAS
Bangladeshi ancestry normal weight	SAS
Bangladeshi ancestry overweight	SAS
Bangladeshi ancestry underweight	SAS
Beninese	AFR
Black	AFR
Black ancestry	AFR
Black ancestry, African American	AFR
Black child	AFR
Black non-Hispanic HIV-negative	AFR
Black non-Hispanic HIV-positive	AFR
Black or African American	AFR
Black or Black British	AFR
Black osteonecrosis	AFR
Black South African	AFR
Black treated	AFR
Brazilian	AMR
Brazilian ancestry	AMR
Brazilian ancestry high dose	AMR
Brazilian ancestry low dose	AMR
Brazilian ancestry male	AMR
Bristish ancestry	EUR
British	EUR
British ancestry	EUR
British ancestry black hair	EUR
British ancestry blond hair	EUR
British ancestry brown hair	EUR
British ancestry brown or black hair	EUR
British ancestry diabetic individuals from 6863	EUR
British ancestry elevated blood pressure	EUR
British ancestry female	EUR
British ancestry from 6863	EUR
British ancestry glaucoma	EUR
British ancestry hypertension crisis	EUR
British ancestry individuals from 6863	EUR
British ancestry individuals with	EUR
British ancestry individuals with no	EUR
British ancestry male	EUR
British ancestry men	EUR
British ancestry non-diabetics individuals from 6863	EUR
British ancestry normal blood pressure	EUR
British ancestry obese	EUR
British ancestry red hair	EUR
British ancestry stage 1 hypertension	EUR
British ancestry stage 2 hypertension	EUR
British ancestry women	EUR
British and Irish ancestry	EUR
British and unknown ancestry	EUR
British or unknown ancestry	EUR
British oversleeper	EUR
British undersleeper	EUR
British, Irish, Other White, South Asian, African ancestry	AFR,EUR,SAS
Bulgarian ancestry	EUR
Cape Verdian	AFR
Caribbean ancestry	AFR,AMR
Caribbean Hispanic	AMR
Caribbean Hispanic/Latino	AMR
Carlantino (founder/genetic isolate)	EUR
Carlantino (founder/genetic isolated)	EUR
Celtic ancestry	EUR
Central American ancestry	AMR
Central and South American	AMR
Central Asian ancestry	EAS,SAS
Central European ancestry child	EUR
Chilean	AMR
Chilean ancestry	AMR
Chilean Latino	AMR
Chinese ancestry	EAS
﻿Chinese ancestry	EAS
Chinese ancestry adult	EAS
Chinese ancestry asymptomatic persistence infection	EAS
Chinese ancestry carrier	EAS
Chinese ancestry childhood	EAS
Chinese ancestry chronic hepatitis B	EAS
Chinese ancestry clearance	EAS
Chinese ancestry controls from 275	EAS
Chinese ancestry decompensated cirrhosis	EAS
Chinese ancestry dizygotic	EAS
Chinese ancestry ESCC	EAS
Chinese ancestry female	EAS
Chinese ancestry gastric cancer	EAS
Chinese ancestry hepatocellular carcinoma	EAS
Chinese ancestry individuals, European	EAS
Chinese ancestry individuals, European ancestry	EAS
Chinese ancestry left-side-affected	EAS
Chinese ancestry male	EAS
Chinese ancestry persistent	EAS
Chinese ancestry persistently infected	EAS
Chinese ancestry pregnant female	EAS
Chinese ancestry recurrent major depressive disorder	EAS
Chinese ancestry right-side-affected	EAS
Chinese ancestry spontaneously recovered	EAS
Chinese Han ancestry	EAS
Chinese Han ancestry uterine myoma or hydrosalpinx	EAS
Chinese or European ancestry	EAS,EUR
Chinese-American	EAS
Chinese, Malay and Asian Indian ancestry	EAS,SAS
Cilento (founder/genetic isolate)	EUR
Cilento (founder/genetic isolated)	EUR
Colombian ancestry	AMR
Costa Rican founder population smoker	AMR
Croatian	EUR
Croatian ancestry	EUR
Croatian, Korculan (founder/genetic isolate) and Vis (founder/genetic isolate)	EUR
Cuban ancestry	AMR
Curacao	AMR
Czech or Slovak	EUR
Dai Chinese ancestry	EAS
Danish ancestry	EUR
Danish ancestry dizygotic	EUR
Danish ancestry female	EUR
Danish ancestry male	EUR
Danish ancestry monozygotic	EUR
Dominican ancestry	AMR
Dominican Republic ancestry	AMR
Dutch	EUR
Dutch ancestry	EUR
Dutch founder	EUR
East Asian	EAS
East Asian American	EAS
East Asian ancestry	EAS
East Asian ancestry child	EAS
East Asian ancestry drinker	EAS
East Asian ancestry female	EAS
East Asian ancestry gout	EAS
East Asian ancestry HBV	EAS
East Asian ancestry hyperuricemia	EAS
East Asian ancestry individuals from 15	EAS
East Asian ancestry lymphoblastoid	EAS
East Asian ancestry male	EAS
East Asian ancestry mandibular	EAS
East Asian ancestry maxillary	EAS
East Asian ancestry methamphetamine-dependent	EAS
East Asian ancestry never smoker	EAS
East Asian ancestry non-depressive	EAS
East Asian ancestry non-drinker	EAS
East Asian ancestry prepressive	EAS
East Asian ancestry psoriasis	EAS
East Asian ancestry rheumatoid arthritis	EAS
East Asian ancestry schizophrenia	EAS
East Asian ancestry schizophrenia female	EAS
East Asian ancestry schizophrenia male	EAS
East Asian ancestry spontaneously HBV-resolved	EAS
East Asian ancestry treated	EAS
East Asian ancestry treated breast cancer	EAS
East Asian seropositive	EAS
East Asian, South Asian and African American ancestry	AFR,EAS,SAS
East Asian, South Asian, and South East Asian ancestry	EAS,SAS
East Asian, South Asian, Hispanic and African American ancestry	AFR,AMR,EAS,SAS
East Asian, South Asian, Middle Eastern, Hispanic and African American ancestry	AFR,AMR,EAS,SAS
Egyptian ancestry	AFR
English ancestry	EUR
Erasmus Rucphen	EUR
Erasmus Rucphen (founder/genetic isolate)	EUR
Erasmus Rucphen (founder/genetic isolate) female	EUR
Erasmus Rucphen (founder/genetic isolated)	EUR
Erasmus Rucphen Family	EUR
Erasmus Rucphen Family (founder/genetic isolate)	EUR
Erasmus Rucphen population isolate	EUR
Estonian ancestry	EUR
Ethiopian	AFR
Ethiopian ancestry	AFR
Europea ancestry	EUR
European	EUR
European American	EUR
European American alcohol dependent	EUR
European American allergic asthma	EUR
European American allergic asthma child	EUR
European American ancestry abacavir-treated	EUR
European American ancestry tenofovir-treated	EUR
European American and African American ancestry	AFR,EUR
European American and Mexican American	AMR,EUR
European American child	EUR
European American hypertensive	EUR
European American individuals from 75	EUR
European American individuals with at least one long-lived	EUR
European American non-alcohol dependent	EUR
European American non-allergic asthma	EUR
European American non-allergic asthma child	EUR
European ance other ancestry	EUR
European ancesrty	EUR
European ancestry	EUR
﻿European ancestry	EUR
European ancestry  bipolar disorder	EUR
European ancestry  BRCA1 carrrier	EUR
European ancestry  class I obese	EUR
European ancestry  HER2-negative	EUR
European ancestry < 386ms female	EUR
European ancestry > 445ms female	EUR
European ancestry 15-18-month-old	EUR
European ancestry 24-30-month-old	EUR
European ancestry 50% oldest-onset	EUR
European ancestry abdominal aortic aneurysm	EUR
European ancestry ACA-positive	EUR
European ancestry accommodative	EUR
European ancestry ACE inhibitor-associated angioedema	EUR
European ancestry ACE inhibitor-exposed	EUR
European ancestry ACL-negative	EUR
European ancestry ACL-positive	EUR
European ancestry ACPA negative RA	EUR
European ancestry ACPA positive RA	EUR
European ancestry active	EUR
European ancestry acute myeloid leukemia	EUR
European ancestry AD	EUR
European ancestry AD dementia	EUR
European ancestry adenocarcinoma	EUR
European ancestry ADHD	EUR
European ancestry adolescent	EUR
European ancestry adult	EUR
European ancestry adult anxiety disorder	EUR
European ancestry adult onset	EUR
European ancestry adults from 1,613	EUR
European ancestry affected	EUR
European ancestry affected offspring	EUR
European ancestry affected sibling pair	EUR
European ancestry age 14	EUR
European ancestry age 6	EUR
European ancestry aggressive	EUR
European ancestry aggressive prostate cancer	EUR
European ancestry alchocol dependent	EUR
European ancestry alcohol abuse	EUR
European ancestry alcohol dependence	EUR
European ancestry allergic diseases	EUR
European ancestry alloantibody-negative previously pregnant	EUR
European ancestry alloantibody-positive previously pregnant	EUR
European ancestry ALS	EUR
European ancestry Alzheimer	EUR
European ancestry Alzheimer disease	EUR
European ancestry Alzheimer's disease	EUR
European ancestry Alzheimer's disease dementia	EUR
European ancestry Alzheimer's diseases	EUR
European ancestry Alzheimers	EUR
European ancestry amenorrheic	EUR
European ancestry amnestic mild cognitive impairment	EUR
European ancestry and African American	AFR,EUR
European ancestry and African American successfully aged	AFR,EUR
European ancestry and Erasmus Rucphen	EUR
European ancestry and Indian Asian ancestry	EUR,SAS
European ancestry ankylosing spondylitis	EUR
European ancestry anorexia	EUR
European ancestry anorexia nervosa	EUR
European ancestry Anti-B2GPI-negative	EUR
European ancestry Anti-B2GPI-positive	EUR
European ancestry antibody-negative	EUR
European ancestry antibody-positive	EUR
European ancestry antibody-positive cases	EUR
European ancestry anxiety disorder	EUR
European ancestry APOE e4-	EUR
European ancestry APOE e4+	EUR
European ancestry APOEe4	EUR
European ancestry AQP4-IgG antibody seronegative	EUR
European ancestry AQP4-IgG antibody seropositive	EUR
European ancestry AREDS formula treated	EUR
European ancestry ASD	EUR
European ancestry asthma	EUR
European ancestry Asthma	EUR
European ancestry asthmatic child	EUR
European ancestry asthmatic children and their	EUR
European ancestry asymptomatic neurocognitive impairment	EUR
European ancestry ATA-positive	EUR
European ancestry atopic dermatitis	EUR
European ancestry atopy and asthma	EUR
European ancestry atopy only	EUR
European ancestry atrial fibrillation	EUR
European ancestry Attention defcit-hyperactivity disorder trio	EUR
European ancestry attention deficit hyperactivity disorder	EUR
European ancestry Attention deficit-hyperactivity disorder	EUR
European ancestry Attention-deficit/hyperactivity disorder	EUR
European ancestry autism	EUR
European ancestry autism spectrum disorder	EUR
European ancestry Autism spectrum disorder	EUR
European ancestry Autism spectrum disorder trio	EUR
European ancestry average onset	EUR
European ancestry Barrett's oesophagus	EUR
European ancestry BD	EUR
European ancestry behavioural variant	EUR
European ancestry bilateral cleft lip	EUR
European ancestry bilateral cleft palate	EUR
European ancestry bipolar	EUR
European ancestry bipolar 1 disorder	EUR
European ancestry bipolar disorder	EUR
European ancestry Bipolar disorder	EUR
European ancestry bipolar disorder female	EUR
European ancestry bipolar disorder male	EUR
European ancestry bipolar disorder responder	EUR
European ancestry Bipolar disorders	EUR
European ancestry bipolar I	EUR
European ancestry bipolar II	EUR
European ancestry black hair	EUR
European ancestry blond hair	EUR
European ancestry BRCA1 carrrier	EUR
European ancestry BRCA1 mutation carrier	EUR
European ancestry breast and colorectal cancer	EUR
European ancestry breast cancer	EUR
European ancestry breast cancer cases with a family history of colorectal cancer	EUR
European ancestry breast cancer female	EUR
European ancestry broad depression	EUR
European ancestry brown hair	EUR
European ancestry C9orf72-positive	EUR
European ancestry cannabis use	EUR
European ancestry carrier	EUR
European ancestry case-father	EUR
European ancestry case-mother	EUR
European ancestry case-parent duos or	EUR
European ancestry cases and	EUR
European ancestry cases and their unaffected	EUR
European ancestry cases from 1416	EUR
European ancestry cases from 207	EUR
European ancestry cases from 34 high-risk	EUR
European ancestry cases severe	EUR
European ancestry cases with a	EUR
European ancestry cases, ~20,000 European ancestry	EUR
European ancestry cases, ~3,000 European ancestry	EUR
European ancestry cases,1,725 African American ancestry	AFR,EUR
European ancestry cases,195 European ancestry	EUR
European ancestry cases,55 European ancestry	EUR
European ancestry cases,up to 258 African ancestry	AFR,EUR
European ancestry celiac disease	EUR
European ancestry cervical intraepithelial neoplasia grade 3	EUR
European ancestry child	EUR
European ancestry child and adolescent	EUR
European ancestry child cases from 1,217	EUR
European ancestry child controls with asthma, general adult population	EUR
European ancestry childhood onset	EUR
European ancestry children from 2,145	EUR
European ancestry cholangiocarcinoma	EUR
European ancestry cholangiocarcinoma-free	EUR
European ancestry choroidal neovascularization	EUR
European ancestry chronic HCV	EUR
European ancestry chronic lymphocytic leukemia	EUR
European ancestry chronic obstructive pulmonary disease	EUR
European ancestry Chronic obstructive pulmonary disease	EUR
European ancestry chronic obstructive pulmonary disease smoker	EUR
European ancestry Citalopram treated	EUR
European ancestry class II obese	EUR
European ancestry class III obese	EUR
European ancestry cleft lip	EUR
European ancestry cleft lip with cleft palate	EUR
European ancestry cleft palate	EUR
European ancestry clinic-based	EUR
European ancestry clozapine-treated and untreated	EUR
European ancestry cognitively normal	EUR
European ancestry cognitively unimpaired	EUR
European ancestry college graduated	EUR
European ancestry colorectal cancer	EUR
European ancestry colorectal cancer with a family history of breast cancer	EUR
European ancestry colorectal carcinoma	EUR
European ancestry colorectal tumor	EUR
European ancestry common variable inmunodeficiency	EUR
European ancestry comparatively older	EUR
European ancestry comparatively younger	EUR
European ancestry complete and incomplete	EUR
European ancestry concordant male sibling	EUR
European ancestry congenital heart disease	EUR
European ancestry continuous smoker	EUR
European ancestry contols	EUR
European ancestry control	EUR
European ancestry controls (includes non-array genotyped, whole genome imputed	EUR
European ancestry controls (includes non-array genotyped, whole-genome imputed	EUR
European ancestry controls from 118	EUR
European ancestry controls from 1235 parent-offspring	EUR
European ancestry controls from 32	EUR
European ancestry controls from 410	EUR
European ancestry controls from 548	EUR
European ancestry controls from 7,694	EUR
European ancestry controls with post-deployment	EUR
European ancestry COPD	EUR
European ancestry coronary heart disease	EUR
European ancestry Crohn's disease	EUR
European ancestry Crohn’s disease	EUR
European ancestry current	EUR
European ancestry current and former smoker	EUR
European ancestry current smoker	EUR
European ancestry cutaneous melanoma	EUR
European ancestry dark hair	EUR
European ancestry dentures	EUR
European ancestry depression	EUR
European ancestry diabetes	EUR
European ancestry diabetes cases and	EUR
European ancestry diabetic	EUR
European ancestry diffuse large B-cell lymphoma	EUR
European ancestry donor-recipient	EUR
European ancestry donors (	EUR
European ancestry drinker	EUR
European ancestry drinkers and	EUR
European ancestry drug-exposed	EUR
European ancestry early mild cognitive impairment	EUR
European ancestry early onset	EUR
European ancestry early-onset	EUR
European ancestry early-onset eczema and childhood asthma	EUR
European ancestry Elated mania	EUR
European ancestry elderly	EUR
European ancestry emmetropia	EUR
European ancestry endometrial carcinoma	EUR
European ancestry endometrioid	EUR
European ancestry ER-	EUR
European ancestry Escitalpram treated	EUR
European ancestry esophageal adenocarcinoma	EUR
European ancestry esophageal squamous cell carcinoma	EUR
European ancestry estrogen receptor negative breast cancer	EUR
European ancestry estrogen receptor-negative	EUR
European ancestry estrogen-receptor negative	EUR
European ancestry estrogen-receptor positive	EUR
European ancestry ETV6-RUNX1 positive	EUR
European ancestry evening	EUR
European ancestry evening chronotype	EUR
European ancestry ever	EUR
European ancestry ever smoker	EUR
European ancestry ever smoking	EUR
European ancestry ever-smoker	EUR
European ancestry exposed	EUR
European ancestry extreme	EUR
European ancestry extremely obese adult	EUR
European ancestry familial	EUR
European ancestry familial Parkinson's disease	EUR
European ancestry father-child	EUR
European ancestry female	EUR
European ancestry female child	EUR
European ancestry female migrain	EUR
European ancestry females from 21	EUR
European ancestry first-degree relatives of Crohn’s disease	EUR
European ancestry focal epilepsy	EUR
European ancestry follicular lymphoma	EUR
European ancestry former and never	EUR
European ancestry former smoker	EUR
European ancestry Frontotremporal dementia with motor neuron disease	EUR
European ancestry FTD	EUR
European ancestry genetic absence epilepsies	EUR
European ancestry genetic generalised epilepsy	EUR
European ancestry geographic atrophy	EUR
European ancestry good response	EUR
European ancestry grade 1	EUR
European ancestry grade 5	EUR
European ancestry granulomatosis with polyangiitis	EUR
European ancestry Graves disease	EUR
European ancestry GRN mutation carrier	EUR
European ancestry Hashimoto's thyroiditis	EUR
European ancestry HCV-infected	EUR
European ancestry head and neck cancer	EUR
European ancestry healthy	EUR
European ancestry healthy elderly	EUR
European ancestry heavy	EUR
European ancestry heavy and light	EUR
European ancestry heavy and light/non-drinker	EUR
European ancestry heavy smokers with high FEV1 measure	EUR
European ancestry heavy smokers with low FEV1 measure	EUR
European ancestry heavy-drinking	EUR
European ancestry heparin-exposed	EUR
European ancestry HER2-positive	EUR
European ancestry heterosexual	EUR
European ancestry high blood pressure	EUR
European ancestry high BMD	EUR
European ancestry high body mass index	EUR
European ancestry high cardiovascular risk elderly	EUR
European ancestry high cardiovascular risk non-diabetic elderly	EUR
European ancestry high consumption	EUR
European ancestry high interferon alpha	EUR
European ancestry high mammographic density	EUR
European ancestry high myopic	EUR
European ancestry high NFT	EUR
European ancestry high radon exposure	EUR
European ancestry high titer	EUR
European ancestry high waist-to-hip ratio	EUR
European ancestry high-risk	EUR
European ancestry HIV-infected male	EUR
European ancestry Hodgkin lymphoma	EUR
European ancestry homosexual	EUR
European ancestry human lymphoblastoid	EUR
European ancestry hyperopia	EUR
European ancestry hypertensive	EUR
European ancestry idiopathic inflammatory myopathy	EUR
European ancestry inactive	EUR
European ancestry individuals (blood measure	EUR
European ancestry individuals (liver measure	EUR
European ancestry individuals (unimpaired cognition, mild cognitive impair	EUR
European ancestry individuals 1,792 Erasmus Rucphen	EUR
European ancestry individuals excluding former	EUR
European ancestry individuals from ~475	EUR
European ancestry individuals from 1,470	EUR
European ancestry individuals from 117	EUR
European ancestry individuals from 117 alcohol dependence affected	EUR
European ancestry individuals from 118	EUR
European ancestry individuals from 150	EUR
European ancestry individuals from 196	EUR
European ancestry individuals from 2,892	EUR
European ancestry individuals from 21	EUR
European ancestry individuals from 2567	EUR
European ancestry individuals from 270	EUR
European ancestry individuals from 307	EUR
European ancestry individuals from 310	EUR
European ancestry individuals from 355	EUR
European ancestry individuals from 364	EUR
European ancestry individuals from 438	EUR
European ancestry individuals from 586	EUR
European ancestry individuals from 6,758	EUR
European ancestry individuals from 75	EUR
European ancestry individuals from 780	EUR
European ancestry individuals from 929 twin	EUR
European ancestry individuals from 956	EUR
European ancestry individuals from 99	EUR
European ancestry individuals from ADHD	EUR
European ancestry individuals inluding former	EUR
European ancestry individuals with average FEV1 measure	EUR
European ancestry individuals with blood pressure measure	EUR
European ancestry individuals with decayed, missing or filled tooth surface measure	EUR
European ancestry individuals with depressive symptom measure	EUR
European ancestry individuals with early mild cognitive impair	EUR
European ancestry individuals with HDL-C measure	EUR
European ancestry individuals with high FEV1 measure	EUR
European ancestry individuals with intraocular pressure measure	EUR
European ancestry individuals with late mild cognitive impair	EUR
European ancestry individuals with LDL-C measure	EUR
European ancestry individuals with low FEV1 measure	EUR
European ancestry individuals with mild cognitive impair	EUR
European ancestry individuals with no	EUR
European ancestry individuals with non-treat	EUR
European ancestry individuals with statin treat	EUR
European ancestry individuals with treat	EUR
European ancestry individuals with vertical cup-disc ratio measure	EUR
European ancestry individuals without statin treat	EUR
European ancestry individuals, Up to 265 Black individuals, Up to 175 Hispanic	AFR,AMR,EUR
European ancestry individuals, Up to 545 Black individuals, Up to 314 Hispanic	AFR,AMR,EUR
European ancestry individuals,1,579 Chinese Han ancestry	EAS,EUR
European ancestry individuals,16,962 East Asian, South Asian, Hispanic and African American ancestry	AFR,AMR,EAS,EUR,SAS
European ancestry intolerant	EUR
European ancestry intracranial aneurysm	EUR
European ancestry invasive	EUR
European ancestry invasive cervical cancer	EUR
European ancestry invasive epithelial ovarian cancer female	EUR
European ancestry iron deficiency	EUR
European ancestry Irritable mania	EUR
European ancestry ischemic	EUR
European ancestry ischemic stroke	EUR
European ancestry JAK2 negative	EUR
European ancestry JIA-associated uveitis	EUR
European ancestry juvenile idiopathic arthritis	EUR
European ancestry juvenile myoclonic epilepsy	EUR
European ancestry kidney cancer	EUR
European ancestry LAC-negative	EUR
European ancestry LAC-positive	EUR
European ancestry lamotrigine-induced hypersensitivity	EUR
European ancestry large artery atherosclerosis	EUR
European ancestry laryngeal squamous cell carcinoma	EUR
European ancestry late mild cognitive impairment	EUR
European ancestry late onset	EUR
